[2024-06-11 14:42:20.365]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-11 14:42:20.794]	 Done.

[2024-06-12 10:35:55.009]	 List of discovered tpm plugins: 
[2024-06-12 10:35:55.034]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-12 10:35:55.101]	 Already installed "vim-tmux-navigator"
[2024-06-12 10:35:55.102]	 Already installed "tmux-resurrect"
[2024-06-12 10:35:55.121]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-12 10:35:55.160]	 Updating all plugins!
[2024-06-12 10:35:55.160]	 
[2024-06-12 10:35:56.931]	   "vim-tmux-navigator" update success
[2024-06-12 10:35:56.953]	     | Already up to date.
[2024-06-12 10:35:57.109]	   "tmux-resurrect" update success
[2024-06-12 10:35:57.145]	     | Already up to date.
[2024-06-12 10:35:57.221]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-12 10:35:57.583]	 Done.

[2024-06-13 13:05:58.074]	 List of discovered tpm plugins: 
[2024-06-13 13:05:58.092]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-13 13:05:58.135]	 Already installed "vim-tmux-navigator"
[2024-06-13 13:05:58.135]	 Already installed "tmux-resurrect"
[2024-06-13 13:05:58.160]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-06-13 13:05:58.186]	 Updating all plugins!
[2024-06-13 13:05:58.186]	 
[2024-06-13 13:05:59.362]	   "vim-tmux-navigator" update success
[2024-06-13 13:05:59.366]	     | Already up to date.
[2024-06-13 13:05:59.431]	   "tmux-resurrect" update success
[2024-06-13 13:05:59.433]	     | Already up to date.
[2024-06-13 13:05:59.453]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-06-13 13:05:59.517]	 Done.

[2024-06-13 13:06:23.695]	 List of discovered tpm plugins: 
[2024-06-13 13:06:23.715]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-06-13 13:06:23.761]	 Already installed "vim-tmux-navigator"
[2024-06-13 13:06:23.762]	 Already installed "tmux-resurrect"
